"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Rigid-flexible interconnection realized by laser soldering through polyimide","B. Balogh; Z. Illyefalvi-Vitez; Z. Baranyay","Department of Electronics Technology, Budapest University슠of슠Technology슠and슠Economics, Budapest, Hungary; Department of Electronics Technology, Budapest University슠of슠Technology슠and슠Economics, Budapest, Hungary; Department of Electronics Technology, Budapest University슠of슠Technology슠and슠Economics, Budapest, Hungary","2008 2nd Electronics System-Integration Technology Conference","21 Nov 2008","2008","","","863","866","The transmission laser soldering technology described in this paper enables the realization of rigid - flexible interconnection after mass reflow soldering of the surface mount components to the rigid printed circuit board (PCB). The novelty of our approach is that the solder paste is heated up selectively by an Nd:YAG laser through the flexible substrate, which is in most cases polyimide (PI). The amount of transmitted laser energy can be controlled and concentrated so precisely to the metallic parts (pad and solder), that it enables the application of solder paste with higher melting point as the temperature tolerance of the flexible substrate, thus solder joints can be formed on polyethylene-terephtalate (PET) and polyethylene-naphtalate (PEN) substrates as well. The paper describes the transmission laser soldering process parameters used for PI, PET and PEN substrates and SnAgCu and SnBi solders. The metallographic analysis and the pull strength measurement results are also presented. Based on our experiments it can be stated that our laser soldered joints of rigid to flexible printed circuits show similar quality and reliability properties to the reflow soldered ones.","","978-1-4244-2813-7","10.1109/ESTC.2008.4684465","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4684465","","Soldering;Polyimides;Pump lasers;Flexible printed circuits;Integrated circuit interconnections;Positron emission tomography;Polymers;Connectors;Power lasers;Copper","bismuth alloys;copper alloys;interconnections;laser beam applications;melting point;polymers;printed circuits;silver alloys;soldering;tin alloys","rigid-flexible interconnection;laser soldering;polyimide;mass reflow soldering;surface mount components;rigid printed circuit board;Nd:YAG laser;transmitted laser energy;melting point;polyethylene-naphtalate substrate;polyethylene-terephtalate substrate;metallographic analysis;laser soldered joints;flexible printed circuits;SnAgCu;SnBi","","","1","13","","21 Nov 2008","","","IEEE","IEEE Conferences"
"LADIC-CAV: a flexible, programmable, high-speed laser driver IC for optical recording","J. J. A. McCormack","Philips Optical Storage, Eindhoven, Netherlands","ICCE. International Conference on Consumer Electronics (IEEE Cat. No.01CH37182)","7 Aug 2002","2001","","","252","253","A high-speed integrated laser driver and controller circuit in standard CMOS technology works flexibly with optical recording formats such as CD-R/RW, DVD+RW, DVD write-once and DVR. It supports both constant angular velocity (CAV) and constant linear velocity (CLV) writing modes, and features a new laser power control method.","","0-7803-6622-0","10.1109/ICCE.2001.935297","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=935297","","High speed integrated circuits;Laser modes;Driver circuits;CMOS technology;Optical control;Flexible printed circuits;Integrated circuit technology;Optical recording;DVD;Angular velocity","driver circuits;CMOS integrated circuits;semiconductor lasers;optical disc storage;power control;programmable circuits;angular velocity;power integrated circuits","LADIC-CAV;high-speed laser driver IC;programmable laser driver IC;optical recording;high-speed integrated laser driver;high-speed controller circuit;CMOS technology;CD-R/RW;DVD+RW;DVD write-once;DVR;constant angular velocity;constant linear velocity;laser power control method;CAV writing mode;CLV writing mode","","1","","1","","7 Aug 2002","","","IEEE","IEEE Conferences"
"Single-grain Si TFTs and circuits for flexible electronics and 3D-ICs","R. Ishihara; V. Rana; M. He; W. Metselaar; K. Beenakker","Faculty of Electrical Engineering, Mathematics and Computer Science, Delft University of Technnology, Delft, Netherlands; Faculty of Electrical Engineering, Mathematics and Computer Science, Delft University of Technnology, Delft, Netherlands; Faculty of Electrical Engineering, Mathematics and Computer Science, Delft University of Technnology, Delft, Netherlands; Faculty of Electrical Engineering, Mathematics and Computer Science, Delft University of Technnology, Delft, Netherlands; Faculty of Electrical Engineering, Mathematics and Computer Science, Delft University of Technnology, Delft, Netherlands","2006 8th International Conference on Solid-State and Integrated Circuit Technology Proceedings","2 Apr 2007","2006","","","174","177","Thin film transistors (TFTs) were fabricated inside a location-controlled, large Si grains through an advanced excimer-laser crystallization with a low temperature process. The field-effect mobility for electrons of the single-grain Si TFTs was as high as 597 cm 2/Vs. CMOS inverters are fabricated inside the location-controlled grain. Propagation delay per stage of 3.1 ns was successfully obtained with a supply voltage of 8V","","1-4244-0160-7","10.1109/ICSICT.2006.306130","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4098052","","Flexible printed circuits;Flexible electronics;Three-dimensional integrated circuits;Thin film transistors;Crystallization;Temperature;Electron mobility;Inverters;Propagation delay;Voltage","CMOS integrated circuits;crystallisation;elemental semiconductors;excimer lasers;flexible electronics;invertors;laser beam applications;silicon;thin film circuits;thin film transistors","single-grain Si TFT;flexible electronics;3D IC;thin film transistors;Si grains;excimer-laser crystallization;low temperature process;field-effect mobility;CMOS inverters;location-controlled grain;propagation delay;3.1 ns;8 V;Si","","","","11","","2 Apr 2007","","","IEEE","IEEE Conferences"
"Laconic: a novel flexible, programmable, laser controller IC for optical recording","J. J. A. McCormack","Philips Opt. Storage, Eindhoven, Netherlands","International Symposium on Optical Memory and Optical Data Storage Topical Meeting","7 Nov 2002","2002","","","332","334","An integrated circuit laser controller circuit, Laconic, in standard CMOS technology is presented that is flexible for optical recording formats such as CD-R/RW, DVD+R/RW and DVR/BRD at all speeds. It supports both CAV and CLV writing modes and features a new laser power control method with self-learning possibilities for accurate one-parameter power control. This IC also supports optimum power control (OPC) and Running-OPC control independent of LPC.","","0-7803-7379-0","10.1109/OMODS.2002.1028658","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1028658","","Optical control;Photonic integrated circuits;Optical recording;Laser modes;Power control;CMOS technology;CMOS integrated circuits;Flexible printed circuits;Integrated circuit technology;Writing","programmable circuits;power control;optical disc storage;mixed analogue-digital integrated circuits;CMOS integrated circuits;laser accessories","programmable laser controller IC;standard CMOS technology;Laconic;optical recording;CD-R/RW;DVD+R/RW;DVR/BRD;CAV writing modes;CLV writing modes;laser power control method;self-learning possibilities;one-parameter power control;optimum power control;running-OPC control","","1","","","","7 Nov 2002","","","IEEE","IEEE Conferences"
"Comparison of different methods of locking a tunable diode laser to iodine transitions for applications in interferometry","F. Irnkenberg; J. Lazar; A. Abou-Zeid","Phys. Tech. Bundesanstalt, Braunschweig, Germany; NA; NA","Technical Digest. Summaries of Papers Presented at the Conference on Lasers and Electro-Optics. Conference Edition. 1998 Technical Digest Series, Vol.6 (IEEE Cat. No.98CH36178)","6 Aug 2002","1998","","","133","","Summary form only given. With the aim of increasing the coherence length of 633-nm laser diodes and realizing a large tuning range, an external-cavity diode laser (ECL) in the Littman design was set up. The front facet of the laser diode was antireflection coated and the light from the diode is reflected back via a fixed grating and a rotatable mirror.","","1-55752-339-0","10.1109/CLEO.1998.675961","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=675961","","Tunable circuits and devices;Diode lasers;Laser tuning;Frequency;Lasers and electrooptics;Flexible manufacturing systems;Semiconductor lasers;Power generation;Spectroscopy;Stability","laser cavity resonators;semiconductor lasers;laser frequency stability;measurement standards;light interferometry;laser tuning;laser transitions;diffraction gratings;laser mirrors;antireflection coatings;optical films","tunable diode laser frequency locking;iodine transitions;interferometry;coherence length;laser diodes;large tuning range;external-cavity diode laser;Littman design;antireflection coated;fixed grating;rotatable mirror;laser mirrors;laser frequency stablity;measurement standards;633 nm","","2","","5","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Flexible lock-in detection system based on synchronized computer plug-in boards applied in sensitive diode-laser gas spectroscopy","M. Andersson; L. Persson; T. Svensson; M. Cassel-Engquist; S. Svanberg","Atomic Physics Division, Lund University, Lund, Sweden; Atomic Physics Division, Lund University, Lund, Sweden; Atomic Physics Division, Lund University, Lund, Sweden; Atomic Physics Division, Lund University, Lund, Sweden; Atomic Physics Division, Lund University, Lund, Sweden","2007 European Conference on Lasers and Electro-Optics and the International Quantum Electronics Conference","21 Nov 2007","2007","","","1","1","A flexible and compact digital lock-in detection system, with software-based balanced detection for tuneable diode-laser spectroscopy measurements is described. The system is based on two data acquisition cards for a standard computer. One data acquisition card contains a software-controlled arbitrary waveform generator (CH-3150, Exacq Technologies) that is used for laser modulation. A pigtailed single mode VCSEL laser (L2K-P760-LD-SM, Laser2000) is used to scan across oxygen lines at about 760 nm. After the laser, the light is split by a single-mode fiber splitter. The scanning frequency is typically 130 Hz and a sinusoidal modulation of about 132 kHz is applied.","","978-1-4244-0930-3","10.1109/CLEOE-IQEC.2007.4386379","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4386379","","Diodes;Spectroscopy;Fiber lasers;Laser tuning;Laser modes;Data acquisition;Frequency synchronization;Tunable circuits and devices;Signal generators;Laser mode locking","data acquisition;measurement by laser beam;optical engineering computing;optical modulation;semiconductor lasers;spectrochemical analysis;surface emitting lasers","flexible lock-in detection system;synchronized computer plug-in boards;sensitive diode-laser gas spectroscopy;software-based balanced detection;data acquisition cards;software-controlled arbitrary waveform generator;laser modulation;pigtailed single mode VCSEL laser;single-mode fiber splitter;sinusoidal modulation","","3","","3","","21 Nov 2007","","","IEEE","IEEE Conferences"
"Laser via formation in flexible substrates for high density electronic assembly","J. Deak; L. Hertel","Department of Electronics Technology, Budapest University슠of슠Technology슠and슠Economics, Budapest, Hungary; Department of Electronics Technology, Budapest University슠of슠Technology슠and슠Economics, Budapest, Hungary","24th International Spring Seminar on Electronics Technology. Concurrent Engineering in Electronic Packaging. ISSE 2001. Conference Proceedings (Cat. No.01EX492)","7 Aug 2002","2001","","","163","166","This paper deals with the technology of double sided, high density printed circuit boards, based on advanced flexible materials, created especially for the interposer (the substrate element) of chip scale packages. The new technology requires new methods for the realization of via holes. These via holes are realized by laser drilling. The required laser drilling process and technology is under development at the Budapest University of Technology and Economics (BUTE, Budapest, Hungary), and later at RUC/TFCG (Gent, Belgium), using frequency multiplied Nd:YAG laser at BUTE, and excimer/CO/sub 2/ lasers at RUG. For the experiments, double sided flex laminates (e.g. polyimide flex), covered on both sides with 9-12 /spl mu/m of Cu layers are used. The final processing step of the substrate is the patterning and etching of the Cu layers on both sides of the laminates. The developed technology enables fabrication of a flex CSP substrate suitable for interconnecting a chip on one side (high-density side, e.g. flip chip technology) and solder balls on the other side (low density side).","","0-7803-7111-9","10.1109/ISSE.2001.931041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=931041","","Drilling;Laminates;Flexible printed circuits;Optical materials;Chip scale packaging;Frequency;Polyimides;Etching;Fabrication;Integrated circuit interconnections","laser beam machining;laser materials processing;chip scale packaging;laminates;printed circuits;flip-chip devices;integrated circuit interconnections;soldering;microassembling","laser via formation;flexible substrates;high density electronic assembly;double sided high density printed circuit boards;flexible materials;CSP interposer;chip scale packages;via holes;laser drilling;laser drilling process technology;frequency multiplied Nd:YAG laser;excimer lasers;CO/sub 2/ lasers;double sided flex laminates;Cu layers;Cu patterning;Cu etching;flex CSP substrate;chip interconnection;flip chip technology;solder balls;package density;9 to 12 micron;Cu;CO/sub 2/;YAG:Nd;YAl5O12:Nd","","2","","5","","7 Aug 2002","","","IEEE","IEEE Conferences"
"Integration of traveling wave laser model into an mixed electrical/optical circuit simulator","C. Bonfil; T. Smy; P. Weetmen","Dept. of Electronics, Carleton University, Ottawa, Ont, Canada; Dept. of Electronics, Carleton University, Ottawa, Ont, Canada; Optiwave Systems Inc., Ottawa, Ontario","2015 IEEE Optical Interconnects Conference (OI)","1 Jun 2015","2015","","","88","89","Summary form only given. The integration of optical and electronic devices to achieve lower costs and higher functionality is attractive for a wide variety of opto-electronic applications. The key to innovation at the design level for these circuits is the availability of highly skilled personnel able to take advantage of sophisticated computer aided design (CAD) platforms. These tools enable them to undertake quick iterations of the design and simulation loop. The creation of such tools will need two interrelated initiatives: 1) The development of novel simulation and modelling techniques that will enable a robust and efficient simulation capability. These capabilities will include distributed thermal effects; modeling of non-linear optical devices; and the development of robust models for simulating circuits containing resonant devices. 2) The simulation and analysis of general, large and complex mixed electro-optic circuits. An important part of the development of these tools is physically based, fast and flexible compact models for devices such as integrated lasers. In this paper we will present the integration of a travelling wave based laser model into a time-domain SPICE compatible optoelectronic circuit/system simulator (OptiSPICE) and its application to a mixed domain circuit containing an optical ring switch and driver and detector circuits.","2376-8665","978-1-4799-8179-3","10.1109/OIC.2015.7115692","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7115692","","Integrated circuit modeling;Mathematical model;Laser modes;Solid modeling;Ring lasers;Nonlinear optics;Laser theory","circuit CAD;circuit simulation;driver circuits;integrated optics;integrated optoelectronics;lasers;optical switches;SPICE","traveling wave laser model;mixed electrical-optical circuit simulator;optical-electronic device integration;opto-electronic applications;circuit design;computer aided design;CAD;distributed thermal effects;nonlinear optical devices;integrated lasers;time-domain SPICE compatible optoelectronic circuit-system simulator;OptiSPICE;mixed domain circuit;optical ring switch;driver circuits;detector circuits","","1","","5","","1 Jun 2015","","","IEEE","IEEE Conferences"
"Asynchronous design: an enabler for flexible microelectronics","N. Karaki","Seiko Epson Corporation, Japan","12th IEEE International Symposium on Asynchronous Circuits and Systems (ASYNC'06)","20 Mar 2006","2006","","","1 pp.","xiii","Summary form only given. Flexible microelectronics technology featuring low-temperature polysilicon (LTPS) TFT and surface free technology by laser annealing and ablation (SUFTLAR) is expected to become a platform for developing thin, flexible and low-cost display devices. LTPS TFTs are good for realizing large area displays and integrated circuits at lower cost. A drawback of LTPS TFTs, however, is that they have substantial deviations in characteristics, which are caused by deviations mainly in crystal grain size and thickness of silicon-oxide. Until now, these deviations were considered to be beyond the capability of synchronous circuit design, especially for large-scale circuits such as microprocessors driven by global clocking. Since asynchronous circuits are ""self-timed"", they absorb the deviations of device characteristics. Plus they run as faster as possible in event-driven fashion dissipating less power, and remain on standby for quick service. Even with the benefits of asynchronous circuits, it is considered difficult to proceed with circuit design using syntax-directed translation using VLSI programming languages such as CSP, Tangram and OCCAM, syntax of which is far from the standard HDL. The authors then decided to develop Verilog+ that comprises a subset of Verilog HDLR and minimal primitives used for describing the communications between processes. Flexible 8-bit asynchronous microprocessor ACT11 is the first successful instance of asynchronous design using Verilog+ without knowledge of element and wire delay except for datapath","1522-8681","0-7695-2498-2","10.1109/ASYNC.2006.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1595682","","Microelectronics;Hardware design languages;Integrated circuit technology;Displays;Grain size;Circuit synthesis;Microprocessors;Asynchronous circuits;Thin film transistors;Surface emitting lasers","asynchronous circuits;flexible electronics;hardware description languages;integrated circuit design;logic design","asynchronous design;flexible microelectronics technology;low-temperature polysilicon;thin film transistors;global clocking;surface free technology;laser annealing and ablation;asynchronous microprocessor ACT11;Verilog+;VLSI programming languages;asynchronous circuits;display devices;synchronous circuit design;hardware description languages","","5","1","","","20 Mar 2006","","","IEEE","IEEE Conferences"
"Heterogeneous Integration of InGaN Micro-LEDs with a:Si TFT Arrays on Flexible Substrates","M. Asad; Q. Li; C. -H. Lee; M. Sachdev; W. Wong","Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, Canada","2019 IEEE International Flexible Electronics Technology Conference (IFETC)","23 Apr 2020","2019","","","1","2","In this research, the integration of the GaN micro-LEDs with a-Si:H TFTs on plastics substrate is demonstrated. Considering the thermal limit of the plastic materials, a low-temperature process was developed to fabricate an array of a-Si:H TFTs on a flexible substrate. A wafer bonding and laser-liftoff procedure was used to integrate the LEDs onto the array. The electrical and optical characteristics of the micro-LEDs on flex showed no degradation before and after the transfer process. The electroluminesce of the diodes, within a two-TFT pixel circuit, showed no measurable change in both flat and bent conditions. The proposed methodology may enable the integration of largescale flexible TFT driving circuit with micro-LEDs for deformable display applications.","","978-1-7281-1778-2","10.1109/IFETC46817.2019.9073702","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9073702","","Substrates;Thin film transistors;Light emitting diodes;Gallium nitride;Flexible printed circuits;Degradation;Optical variables measurement","amorphous semiconductors;driver circuits;elemental semiconductors;flexible electronics;gallium compounds;III-V semiconductors;indium compounds;light emitting diodes;semiconductor device breakdown;silicon;thermal management (packaging);thin film transistors;wafer bonding;wide band gap semiconductors","flexible TFT driving circuit;two-TFT pixel circuit;laser-liftoff procedure;wafer bonding;low-temperature process;a-Si:H TFTs;GaN microLEDs;a:Si TFT arrays;InGaN microLEDs;InGaN;Si","","","","4","","23 Apr 2020","","","IEEE","IEEE Conferences"
